word	onset	duration
WITH	107.2325	0.1500
MYSELF	107.3825	0.4900
AND	107.8725	0.1800
THIS	108.0525	0.2800
MORNING	108.3325	0.3600
I	108.6925	0.1200
WAS	108.8125	0.1500
SO	108.9625	0.4900
SO	109.4525	0.1500
UPSET	109.9525	0.4500
AND	110.4025	0.1600
THEN	110.6025	0.3300
I	110.9325	0.0400
GOT	110.9725	0.1900
YOUR	111.1625	0.0900
MESSAGE	111.2525	0.3400
AND	111.5925	0.1500
I	111.7425	0.1300
WAS	111.8725	0.1200
SO	111.9925	0.1900
HAPPY	112.1825	0.5100
AND	112.6925	0.1000
ALL	112.7925	0.1800
I	112.9725	0.0700
WANTED	113.0425	0.3800
WAS	113.4225	0.1400
TO	113.5625	0.0800
GET	113.6425	0.2100
HER	113.8525	0.1800
OUT	114.0325	0.2200
OF	114.2525	0.1100
MY	114.3625	0.2300
APARTMENT	114.5925	0.5200
AS	115.1125	0.1500
FAST	115.2625	0.4900
AS	115.7525	0.1800
POSS	115.9325	0.1400
WHOA	116.0725	0.8300
WHOA	116.9025	0.6700
WHOA	117.5725	0.5100
WAIT	118.0825	0.2900
A	118.3725	0.0400
MINUTE	118.4125	0.4300
WHAT	118.8425	1.7700
TIME	120.6125	0.3100
DID	120.9225	0.1400
YOUR	121.0625	0.1200
LITTLE	121.1825	0.1600
FRIEND	121.3425	0.3000
LEAVE	121.6425	0.3100
UH	123.3125	0.2400
OH	124.2125	0.0600
MY	124.2725	1.6800
GOSH	127.1125	0.8000
SHE	128.0225	0.1200
WAS	128.1425	0.2200
THERE	128.4325	0.1900
SHE	128.6225	0.0600
WAS	128.7025	0.2700
STILL	129.0425	0.3000
THERE	129.3625	0.4400
SHE	130.1225	0.2200
WAS	130.3425	0.1500
IN	130.4925	0.1700
THERE	130.6625	0.2100
WHEN	130.8725	0.1700
I	131.0925	0.2500
WAS	131.3425	0.1700
IN	131.5125	0.1100
THERE	131.6225	0.4300
OH	134.0725	0.2600
JUST	134.6125	0.4300
GET	135.0425	0.2900
OUT	135.3725	2.0900
LISTEN	137.4625	0.4200
OH	137.8825	0.2000
HEY	138.0825	0.2100
HEY	138.2925	0.3500
THE	138.6425	0.0700
IMPORTANT	138.7125	0.5500
THING	139.2625	0.3100
IS	139.5725	0.2300
SHE	139.8025	0.1100
MEANT	139.9125	0.2000
NOTHING	140.1125	0.4900
TO	140.6025	0.1300
ME	140.7325	0.3200
AND	141.2325	0.1600
YET	141.3925	0.1600
SHE	141.5525	0.1700
WAS	141.7225	0.2100
WORTH	141.9325	0.2600
JEOPARDIZING	142.1925	0.6300
OUR	142.8225	0.3400
RELATIONSHIP	143.5525	0.5800
LOOK	144.4125	0.3300
I	144.7825	1.6700
DIDN'T	146.4525	0.1900
THINK	146.6425	0.2100
THERE	146.8525	0.1100
WAS	146.9625	0.1600
A	147.1225	0.0300
RELATIONSHIP	147.1525	0.6200
TO	147.7925	0.3000
JEOPARDIZE	148.0925	0.6000
I	148.6925	0.0800
THOUGHT	148.7725	0.1800
WE	148.9525	0.0800
WERE	149.0325	0.1300
BROKEN	149.1625	0.4100
UP	149.5725	0.2500
WE	149.9025	0.2300
WERE	150.1325	0.2300
ON	150.3625	0.2300
A	150.5925	0.0600
BREAK	150.6525	0.5300
THAT	151.1825	0.1800
FOR	151.4225	0.1700
ALL	151.5925	0.2300
