word	onset	duration
CAPRI'S	126.5225	0.5300
UNDYING	127.0525	0.4500
LOVE	127.5025	0.2100
FOR	127.7125	0.1800
HER	127.8925	0.1000
BROTHER	127.9925	0.3700
YOU	128.3625	0.0700
WANT	128.6325	0.3400
THE	128.9725	0.1200
RING	129.0925	0.2200
OR	129.3125	0.0300
NOT	129.3425	0.3900
YEAH	129.7325	1.8700
HEY,	131.6025	5.4600
YOU'RE	137.0625	0.3700
UP	137.4325	0.2200
ALL	137.6525	0.0700
RIGHT	137.7725	0.3900
LOOK	138.1625	0.3800
AT	138.5425	0.0700
YOU	138.6925	0.0600
THOUGHT	138.7525	0.2600
I'D	139.0125	0.4500
TRY	139.6225	0.2700
TO	139.8925	0.3200
TAKE	140.2125	0.3000
A	140.5125	0.0600
WALK	140.5725	0.3500
WILL	141.2525	0.0900
YOU	141.3425	0.0800
POR	141.4725	0.1500
ME	141.6225	0.1000
SOME	141.7225	0.2300
WATER	141.9525	0.4600
I'LL	142.5325	0.0800
BE	142.6125	0.1200
BACK	142.7325	0.2100
SOON	142.9425	0.2900
WHOA	143.3525	0.4900
YOU'RE	143.8425	0.1200
NOT	143.9625	0.1500
GOING	144.1125	0.1400
TO	144.2525	0.0600
USE	144.3125	0.2300
THE	144.5425	0.1000
PAY	144.6425	0.2100
PHONE	144.8525	1.1700
NO	146.3425	0.2500
I'VE	147.2025	0.2100
LEARNED	147.4125	0.1900
MY	147.6025	0.1100
LESSON	147.7125	0.3600
OKAY	148.7125	0.2800
LET'S	148.9925	2.6600
GO	151.9625	0.1400
COME	152.9125	0.2400
ON	153.6925	0.0900
MOVE	154.0825	0.1500
IT	154.2325	0.4500
MOVE	154.6825	0.0900
IT	155.0025	0.2300
PHOEBE	155.2325	0.3300
COME	155.5625	0.1900
ON	155.7525	0.2500
SHOES	157.0425	0.5200
BRIEFCASE	157.6525	0.6600
THANKS	158.3125	0.3100
LOU	158.6225	0.1300
GOOD	158.7525	0.1400
LUCK	158.8925	0.1700
WITH	159.0625	0.0900
THE	159.1525	0.0700
GALLBLADDER	159.2225	0.5000
HEY	159.9825	2.2800
JOE	167.3625	0.6400
DID	168.0025	0.2500
DID	169.4525	0.1600
YOU	169.6125	0.0800
EVER	169.6925	0.1600
HAVE	169.8525	0.1500
A	170.0025	0.0600
THREESOME	170.0625	0.5700
UH	171.1925	1.8300
UH	173.8525	0.5900
LOOK	174.8825	0.1900
ROSS	175.0725	0.2700
I	175.3425	0.3200
THINK	175.6625	0.2000
CAROL'S	175.8625	0.3000
GREAT	176.1625	0.3400
AND	176.5025	0.2000
I'M	176.7025	0.1000
SURE	176.8025	0.3100
YOU'RE	177.1125	0.2500
VERY	177.3625	0.2500
ATTRACTIVE	177.6125	0.4200
MAN	178.0325	0.3300
BUT	178.3625	0.5400
I	178.9025	1.3400
NO	180.7425	0.2700
NO	181.0125	0.2000
THE	181.2125	0.0600
REASON	181.2725	0.4000
I'M	181.6725	0.1900
ASKING	181.8625	0.4500
IS	182.3125	0.1200
THAT	182.4325	0.5100
I	186.3425	0.0900
SORT	186.4325	0.2600
OF	186.6925	0.0700
HAD	186.7625	0.2500
ONE	187.0125	0.1700
LAST	187.1825	0.3000
NIGHT	187.4825	0.2600
YOU	188.5425	0.4200
YEAH	188.9625	0.1600
WOW	189.1225	0.0700
YEAH	189.1925	0.0600
ALL	189.2525	0.0600
RIGHT	189.3125	0.9000
SO	190.2125	0.0900
WAS	190.3025	2.0100
IT	192.3125	0.7800
AMAZING	193.3125	0.9000
IT	194.2125	0.0700
WAS	194.2825	0.3200
IT	194.6025	0.2800
WAS	195.2725	0.3800
OKAY	196.0525	0.6300
JUST	197.2325	2.0600
OKAY	199.2925	0.3300
DID	199.6225	0.1900
YOU	199.8125	0.0900
DO	199.9025	0.3000
IT	200.2025	0.5000
RIGHT	201.1025	1.1000
LOOK	202.2025	0.3400
IT'S	202.8625	0.1400
JUST	203.0025	0.2700
DID	203.2725	0.3300
YOU	203.6025	0.0600
EVER	203.6625	0.1600
GO	203.8225	0.1500
TO	203.9725	0.1500
A	204.1225	0.0400
PARTY	204.1625	0.6900
AND	205.7625	0.2600
THINK	206.0225	0.4300
WOULD	206.7725	0.2100
ANYONE	206.9825	0.4200
REALLY	207.4025	0.7100
MISS	208.1125	0.4200
ME	208.5325	0.2900
IF	208.8225	0.1500
I	208.9725	0.1500
WEREN'T	209.1225	0.4200
HERE	209.5425	0.3300
HUH	209.8725	2.9800
BUT	214.2225	0.1500
STILL	214.3725	0.4300
ROSS	215.0025	0.5100
YOUR	216.5625	0.1400
WORST	216.7025	0.3500
DAY	217.0525	0.2100
WITH	217.2625	0.1700
TWO	217.4325	0.1900
WOMEN	217.6225	0.3400
IS	217.9625	0.0600
PRETTY	218.4825	0.2000
MUCH	218.6825	0.2300
BETTER	218.9125	0.2400
THAN	219.1525	0.1700
ANY	219.3225	0.2600
OTHER	219.5825	1.3800
DAY	220.9625	1.0600
OH	222.0625	0.1100
NO	222.2925	0.1000
NO	222.4925	0.7600
ABSOLUTELY	223.7225	1.1700
YEAH	224.8925	0.4000
YEAH	225.2925	1.4900
IT'S	226.8125	1.0000
JUST	227.8125	0.3300
MY	229.2725	0.2300
PART	229.5025	0.3300
SEEMED	229.8825	0.2700
TO	230.1525	0.0600
BE	230.2125	0.3100
OVER	230.5225	0.6300
PRETTY	231.3525	0.2500
QUICKLY	231.6025	0.6200
AND	232.2225	0.1500
THEN	232.3725	0.3000
AND	232.7825	0.1600
THEN	232.9425	0.2700
THERE	233.3425	0.1100
WAS	233.4525	0.1600
A	233.6125	0.0500
LOT	233.6625	0.3000
OF	233.9625	0.0800
WAITING	234.0425	0.9400
AROUND	235.4825	1.3400
OH	236.8225	0.0300
BUT	237.6025	0.1400
YOU	237.7425	0.0900
GOT	237.8325	0.1400
TO	237.9725	0.0800
BE	238.0525	0.2000
WITH	238.2525	0.1800
BOTH	238.4925	0.2300
OF	238.7225	0.0700
THEM	238.7925	0.2800
RIGHT	239.0725	0.1400
NOT	240.9825	0.2100
NOT	241.2825	0.2100
REALLY	241.4925	0.5500
IT	242.2925	0.2400
WAS	242.5325	2.1000
UST	244.6325	0.7100
CAROL	245.3425	0.3600
NOT	245.7025	0.1300
THE	246.2125	0.1000
OTHER	246.3125	0.2400
ONE	246.5525	0.2000
NO	246.7525	0.3000
SHE	247.0525	0.1600
KEPT	247.2125	0.2300
KICKING	247.4425	0.2700
ME	247.7125	0.1200
AWAY	247.8325	0.2600
OH	248.0925	0.0300
YEAH	248.1225	2.1400
YOU	250.2625	0.3400
DON'T	250.6025	0.8100
WANT	251.7125	0.1700
THAT	251.8825	1.2500
NO	253.1325	0.0600
NO	253.1925	0.0800
WELL	253.2725	0.2000
HEY	253.4725	0.2100
AT	253.6825	0.0600
LEAST	254.0525	0.1500
YOU	254.2025	0.0600
GOT	254.2625	0.1500
TO	254.4125	0.0700
SEE	254.4825	0.2500
A	254.7325	0.0300
